game_id,move_number,player,row,col,board_state,timestamp,winner
20250319_235538,6,2,0,0,200011122,2025-03-19 23:55:38,
20250319_235538,7,1,1,0,200111122,2025-03-19 23:55:39,1
20250319_235539,1,1,2,1,000000010,2025-03-19 23:55:39,
20250319_235539,2,2,0,2,002000010,2025-03-19 23:55:39,
20250319_235539,3,1,1,0,002100010,2025-03-19 23:55:39,
20250319_235539,4,2,1,1,002120010,2025-03-19 23:55:39,
20250319_235539,5,1,2,0,002120110,2025-03-19 23:55:39,
20250319_235539,6,2,1,2,002122110,2025-03-19 23:55:39,
20250319_235539,7,1,0,0,102122110,2025-03-19 23:55:39,1
20250319_235540,1,1,1,1,000010000,2025-03-19 23:55:40,
20250319_235540,2,2,2,2,000010002,2025-03-19 23:55:40,
20250319_235540,3,1,0,2,001010002,2025-03-19 23:55:40,
20250319_235540,4,2,2,0,001010202,2025-03-19 23:55:40,
20250319_235540,5,1,1,0,001110202,2025-03-19 23:55:40,
20250319_235540,6,2,1,2,001112202,2025-03-19 23:55:40,
20250319_235540,7,1,2,1,001112212,2025-03-19 23:55:41,
20250319_235540,8,2,0,1,021112212,2025-03-19 23:55:41,
20250319_235540,9,1,0,0,121112212,2025-03-19 23:55:41,0
20250319_235541,1,1,2,0,000000100,2025-03-19 23:55:41,
20250319_235541,2,2,1,0,000200100,2025-03-19 23:55:41,
20250319_235541,3,1,0,1,010200100,2025-03-19 23:55:41,
20250319_235541,4,2,1,2,010202100,2025-03-19 23:55:41,
20250319_235541,5,1,1,1,010212100,2025-03-19 23:55:41,
20250319_235541,6,2,2,2,010212102,2025-03-19 23:55:42,
20250319_235541,7,1,0,2,011212102,2025-03-19 23:55:42,1
20250319_235542,1,1,0,1,010000000,2025-03-19 23:55:42,
20250319_235542,2,2,2,1,010000020,2025-03-19 23:55:42,
20250319_235542,3,1,1,2,010001020,2025-03-19 23:55:42,
20250319_235542,4,2,1,1,010021020,2025-03-19 23:55:42,
20250319_235542,5,1,0,0,110021020,2025-03-19 23:55:42,
20250319_235542,6,2,1,0,110221020,2025-03-19 23:55:43,
20250319_235542,7,1,0,2,111221020,2025-03-19 23:55:43,1
20250319_235543,1,1,1,2,000001000,2025-03-19 23:55:43,
20250319_235543,2,2,2,0,000001200,2025-03-19 23:55:43,
20250319_235543,3,1,2,1,000001210,2025-03-19 23:55:43,
20250319_235543,4,2,0,0,200001210,2025-03-19 23:55:43,
20250319_235543,5,1,0,2,201001210,2025-03-19 23:55:43,
20250319_235543,6,2,1,0,201201210,2025-03-19 23:55:43,2
20250319_235544,1,1,2,0,000000100,2025-03-19 23:55:44,
20250319_235544,2,2,1,0,000200100,2025-03-19 23:55:44,
20250319_235544,3,1,0,0,100200100,2025-03-19 23:55:44,
20250319_235544,4,2,2,2,100200102,2025-03-19 23:55:44,
20250319_235544,5,1,1,1,100210102,2025-03-19 23:55:44,
20250319_235544,6,2,2,1,100210122,2025-03-19 23:55:44,
